DEVICEID,TRAVELID,SJ,LANEID,SPEED,FTNODE
916,805e61b8d5c3c183cb2a09113a70b47e,2019/7/3 9:24,2,30.12747252,5021_5012
916,27219ba09f81b7f940a8c5773cc7e828,2019/7/3 9:24,3,18.47871725,5021_5012
916,7bd51b010736ea0d6c1f196128c8bc41,2019/7/3 9:24,3,43.374004,5021_5012
916,cf888de313e1de41b550c98a55a73489,2019/7/3 9:24,3,44.41594303,5021_5012
916,24f127a3a51670eed6ced3259c27707d,2019/7/3 9:24,2,36.04805292,5021_5012
916,f5d1d7df64d01dc13b20becde347018a,2019/7/3 9:24,1,23.99503323,5021_5012
916,7d18fc3efab802923e70b7fdd530bbeb,2019/7/3 9:24,1,35.33187744,5021_5012
916,0b85f71a187bbcc2ff18d3206498945a,2019/7/3 9:24,1,35.41527074,5021_5012
916,87de10b56e11dcbb584b3749298d6b6d,2019/7/3 9:24,3,27.94852865,5021_5012
915,3e83c3eab938c5ff5c3a1cdfcc9fc90b,2019/7/3 9:25,1.19E+18,25.49395726,5021_5012
915,44f0dfcf11584d09fe0f8d52193a7c71,2019/7/3 9:25,1.19E+18,35.26825562,5021_5012
915,168b99b08eba0a926453bdf72f5384fc,2019/7/3 9:25,1,35.5200297,5021_5012
915,6c655d388ed9785c0c710de16ea4f6c7,2019/7/3 9:25,3,35.31375718,5021_5012
915,2e4b761eb9cc8514b5e5276cb172a233,2019/7/3 9:25,1.19E+18,25.43214842,5021_5012
915,4ed7a15774c49653ff2db9da54ea1151,2019/7/3 9:25,1,35.58090328,5021_5012
915,aa75c68ce81f72e8959e8941ac811b9e,2019/7/3 9:25,3,35.55301094,5021_5012
915,2a60b7fdfa33a315a78cdbe86cf99312,2019/7/3 9:25,1.19E+18,4.181003785,5021_5012
915,3fafea34c0b77cc2a98cd76ce5163390,2019/7/3 9:25,2,27.67232846,5021_5012
915,6e7f774e75bb59ef4a0f0580925bfe76,2019/7/3 9:25,3,42.0776517,5021_5012
915,d23528ebc909afec8fc7fb41c08cd9c2,2019/7/3 9:25,3,35.02197511,5021_5012
915,cf2642bdf8bfc4e540db3807b7060fc1,2019/7/3 9:25,3,19.92429721,5021_5012
915,aef4f735ab37496a16395f00f05c1b3b,2019/7/3 9:25,3,27.28500052,5021_5012
916,44f0dfcf11584d09fe0f8d52193a7c71,2019/7/3 9:25,3,35.26825562,5021_5012
916,d9d7ab0a238be7be4ceaa12a68d2b3eb,2019/7/3 9:25,4,26.03594665,5021_5012
916,be57365a9cbf9ed5a8dc8ad69895037c,2019/7/3 9:25,1,35.65869768,5021_5012
916,8a14f15d9a5b431bc1108eb9e1e0abe9,2019/7/3 9:25,1,30.02771915,5021_5012
916,6e7f774e75bb59ef4a0f0580925bfe76,2019/7/3 9:25,4,42.0776517,5021_5012
916,d23528ebc909afec8fc7fb41c08cd9c2,2019/7/3 9:25,4,35.02197511,5021_5012
916,477b7e3c0bed74c8c56433da400da2b6,2019/7/3 9:25,1,28.26859635,5021_5012
915,6f1dbfa8d702cbda174e062684c7129e,2019/7/3 9:26,3,44.23547999,5021_5012
915,a475fed81556638cec678f92bdced6d9,2019/7/3 9:26,1,35.58090328,5021_5012
915,85d9753b8f7944ddaccee5c7edcd1f56,2019/7/3 9:26,1.19E+18,35.26825562,5021_5012
915,92a7c1bf5bc81614db6a929f4c7dedeb,2019/7/3 9:26,3,19.94244891,5021_5012
916,3e83c3eab938c5ff5c3a1cdfcc9fc90b,2019/7/3 9:26,4,25.49395726,5021_5012
916,168b99b08eba0a926453bdf72f5384fc,2019/7/3 9:26,1,35.5200297,5021_5012
916,6c655d388ed9785c0c710de16ea4f6c7,2019/7/3 9:26,4,35.31375718,5021_5012
916,2e4b761eb9cc8514b5e5276cb172a233,2019/7/3 9:26,4,25.43214842,5021_5012
916,dec32c94cc749f6468b902455233b20f,2019/7/3 9:26,4,35.31899532,5021_5012
916,4ed7a15774c49653ff2db9da54ea1151,2019/7/3 9:26,1,35.58090328,5021_5012
916,aa75c68ce81f72e8959e8941ac811b9e,2019/7/3 9:26,3,35.55301094,5021_5012
916,3fafea34c0b77cc2a98cd76ce5163390,2019/7/3 9:26,2,27.67232846,5021_5012
916,92a7c1bf5bc81614db6a929f4c7dedeb,2019/7/3 9:26,-1,20,5021_5012
916,cf2642bdf8bfc4e540db3807b7060fc1,2019/7/3 9:26,-1,20,5021_5012
916,aef4f735ab37496a16395f00f05c1b3b,2019/7/3 9:26,4,27.28500052,5021_5012
915,8299c840a14de4064ea7dbfe50ad4697,2019/7/3 9:27,1.19E+18,13.00306493,5021_5012
915,a1eb99c4a44e8f27367dd2b40495fdac,2019/7/3 9:27,1,35.5200297,5021_5012
915,f4d79ece2d333ae1fdd657505fd51896,2019/7/3 9:27,1,35.58090328,5021_5012
915,7fd956795f6e1752c96d597dd7da1eea,2019/7/3 9:27,3,35.53162034,5021_5012
915,d541a2fcb27a81471626adb76f364416,2019/7/3 9:27,1,35.41527074,5021_5012
915,f4702ff0735f85436fc4b6f384804eeb,2019/7/3 9:27,3,29.24040203,5021_5012
915,7eb2ed32088ba102d37e105b30492404,2019/7/3 9:27,3,15.92269656,5021_5012
915,cb7c3ebe393ad874393f8c08adc07429,2019/7/3 9:27,3,46.80125082,5021_5012
916,6f1dbfa8d702cbda174e062684c7129e,2019/7/3 9:27,4,44.23547999,5021_5012
916,a1eb99c4a44e8f27367dd2b40495fdac,2019/7/3 9:27,1,35.5200297,5021_5012
916,f4d79ece2d333ae1fdd657505fd51896,2019/7/3 9:27,1,35.58090328,5021_5012
916,7fd956795f6e1752c96d597dd7da1eea,2019/7/3 9:27,3,35.53162034,5021_5012
916,a475fed81556638cec678f92bdced6d9,2019/7/3 9:27,1,35.58090328,5021_5012
916,85d9753b8f7944ddaccee5c7edcd1f56,2019/7/3 9:27,3,35.26825562,5021_5012
916,cb7c3ebe393ad874393f8c08adc07429,2019/7/3 9:27,4,46.80125082,5021_5012
915,7a5253b5c22668b8990375b94008081a,2019/7/3 9:28,3,29.74454689,5021_5012
915,dd57ed26daa0be6601c5c9b438ba43fa,2019/7/3 9:28,3,38.29193249,5021_5012
915,df40cb30a5c9ac0636d0b3566cb994a4,2019/7/3 9:28,1.19E+18,12.52786342,5021_5012
915,4f2d230c33e3ab9b440b3d362098c34c,2019/7/3 9:28,3,19.92429721,5021_5012
915,7d72123138ba8a866615d9180160b621,2019/7/3 9:28,3,40.18940757,5021_5012
915,9f392dafd29f73cb008edd18ea71cbc6,2019/7/3 9:28,3,45.71854476,5021_5012
915,5a49e624ef5791d0d07aa68196c2f72a,2019/7/3 9:28,1.19E+18,45.39957157,5021_5012
915,6fba2e82779088d4193d3b329dbb54f2,2019/7/3 9:28,3,12.74439394,5021_5012
915,2e63c90575dfae84bdeecf482de8bf46,2019/7/3 9:28,1,28.66171857,5021_5012
915,75cd01b9358d96eb42588dc99d29a797,2019/7/3 9:28,2,35.45557524,5021_5012
915,00c8ed230dd8c34d31d03adda8462dbf,2019/7/3 9:28,3,33.59250674,5021_5012
916,7a5253b5c22668b8990375b94008081a,2019/7/3 9:28,4,29.74454689,5021_5012
916,8299c840a14de4064ea7dbfe50ad4697,2019/7/3 9:28,2,13.00306493,5021_5012
916,7d72123138ba8a866615d9180160b621,2019/7/3 9:28,3,40.18940757,5021_5012
916,d541a2fcb27a81471626adb76f364416,2019/7/3 9:28,1,35.41527074,5021_5012
916,f4702ff0735f85436fc4b6f384804eeb,2019/7/3 9:28,4,29.24040203,5021_5012
916,c92a2329cf7fa0f60b672c483b056e6f,2019/7/3 9:28,4,4.167110434,5021_5012
916,5a49e624ef5791d0d07aa68196c2f72a,2019/7/3 9:28,4,45.39957157,5021_5012
916,7eb2ed32088ba102d37e105b30492404,2019/7/3 9:28,3,15.92269656,5021_5012
915,cc9c6f155d150f8c58cf494c75727819,2019/7/3 9:29,1.19E+18,33.82713176,5021_5012
915,2d5d94ad04e40d1e4b37ec4bc21973d3,2019/7/3 9:29,1.19E+18,33.82713176,5021_5012
915,c067613e011df661eb560800c3916220,2019/7/3 9:29,1,35.41527074,5021_5012
915,b13429abd5ae99d4713318d754e7ca12,2019/7/3 9:29,3,24.02833885,5021_5012
915,2c696e3a3c10fbfce240b0e6b04c6c59,2019/7/3 9:29,1,23.32209491,5021_5012
915,17f5ccd1aea1ae8d88212352d933459c,2019/7/3 9:29,3,12.67354909,5021_5012
915,501d2e074306ecbe605a674f6ce303e7,2019/7/3 9:29,3,19.31464147,5021_5012
915,08a1f560d2e6ceee2f8d04070ce913a8,2019/7/3 9:29,3,39.2087209,5021_5012
915,c611c9c2c9b12ed0290561a3609c9d4f,2019/7/3 9:29,2,35.61842411,5021_5012
916,dd57ed26daa0be6601c5c9b438ba43fa,2019/7/3 9:29,4,38.29193249,5021_5012
916,4f2d230c33e3ab9b440b3d362098c34c,2019/7/3 9:29,-1,20,5021_5012
916,1ab22c6fdc11ddbfe6932b85c34d52a3,2019/7/3 9:29,4,24.40869998,5021_5012
916,9f392dafd29f73cb008edd18ea71cbc6,2019/7/3 9:29,3,45.71854476,5021_5012
916,2e63c90575dfae84bdeecf482de8bf46,2019/7/3 9:29,1,28.66171857,5021_5012
916,75cd01b9358d96eb42588dc99d29a797,2019/7/3 9:29,2,35.45557524,5021_5012
916,00c8ed230dd8c34d31d03adda8462dbf,2019/7/3 9:29,4,33.59250674,5021_5012
915,bfa94573591ee751c79046cadf2702d7,2019/7/3 9:30,2,28.92937553,5021_5012
915,f3d4bf77aded637d1948eac52523c843,2019/7/3 9:30,3,40.11535784,5021_5012
915,2fe4686250407c27e8e57f99cd09ed98,2019/7/3 9:30,3,30.47083982,5021_5012
915,a53220832ec6347229180cdb1d306769,2019/7/3 9:30,1.19E+18,27.4439027,5021_5012
915,53979a879549e14ee51888acc30d2832,2019/7/3 9:30,2,32.55063622,5021_5012
915,1cf90911f3e82e34797e1af9ae44a624,2019/7/3 9:30,3,46.98850433,5021_5012
915,ace7f79e8789561a62eaca2bba2518b8,2019/7/3 9:30,3,46.80125082,5021_5012
915,ad9c10368117147165011a27498e7ee5,2019/7/3 9:30,3,30.75611193,5021_5012
915,a1158504e0608128981536c5a5e8c9cc,2019/7/3 9:30,1.19E+18,33.20141196,5021_5012
915,c678614bc5b7600d6be96112ca5462a1,2019/7/3 9:30,3,31.29603146,5021_5012
915,ac476020d85982dd692151b44abd53d8,2019/7/3 9:30,1,35.35307382,5021_5012
916,bfa94573591ee751c79046cadf2702d7,2019/7/3 9:30,4,28.92937553,5021_5012
916,cc9c6f155d150f8c58cf494c75727819,2019/7/3 9:30,4,33.82713176,5021_5012
916,7adef94157b371f5d4a2f2b1f26e44b1,2019/7/3 9:30,1,29.27841075,5021_5012
916,2d5d94ad04e40d1e4b37ec4bc21973d3,2019/7/3 9:30,4,33.82713176,5021_5012
916,c067613e011df661eb560800c3916220,2019/7/3 9:30,1,35.41527074,5021_5012
916,b13429abd5ae99d4713318d754e7ca12,2019/7/3 9:30,4,24.68961912,5021_5012
916,df40cb30a5c9ac0636d0b3566cb994a4,2019/7/3 9:30,3,12.4343719,5021_5012
916,2c696e3a3c10fbfce240b0e6b04c6c59,2019/7/3 9:30,1,23.32209491,5021_5012
916,f3d4bf77aded637d1948eac52523c843,2019/7/3 9:30,4,40.11535784,5021_5012
